Adv. Campaign,Clicks,Time
Myntra,11853,M-Jan'24
PUMA,1689,M-Jan'24
StubHub NORAM,8024,A-Jan'23
Adobe,22378,B-Feb'23
StubHub NORAM,7648,B-Feb'23
Adobe,54944,C-Mar'23
StubHub NORAM,13014,C-Mar'23
Adobe,65758,D-Apr'23
StubHub NORAM,14821,D-Apr'23
Adobe,57120,E-May'23
StubHub NORAM,13106,E-May'23
Adobe,52784,F-Jun'23
StubHub NORAM,10238,F-Jun'23
Adobe,34727,G-Jul'23
Adobe,45810,B-Feb'23
Adobe,103994,C-Mar'23
Adobe,93997,D-Apr'23
Adobe,111841,E-May'23
Exness Global (RETIRED),3225,E-May'23
Adobe,120882,F-Jun'23
Adobe,19328,H-Aug'23
Adobe,15421,I-Sept'23
Adobe,13276,J-Oct'23
Adobe,10475,K-Nov'23
Adobe,11330,L-Dec'23
Adobe,29406,M-Jan'24
StubHub NORAM,2268,M-Jan'24
AirAsia Travel,1274,M-Jan'24
Adobe,29406,N-Feb'24
StubHub NORAM,2251,N-Feb'24
Abebooks Global - CPS,1182,A-Jan'23
Thriftbooks - CPS,2800,A-Jan'23
Vueling FR CPS,4758,A-Jan'23
Shopee Indonesia - CPS,32600,A-Jan'23
Shopee SG - CPS,12220,A-Jan'23
Shopee TH - CPS,33160,A-Jan'23
AT&T Mobility CPS(Paused),1542,A-Jan'23
Tiqets CPS (Offline),1024,A-Jan'23
Shopify CPA,12530,A-Jan'23
Klook - CPS,2988,A-Jan'23
Thriftbooks - CPS,1122,B-Feb'23
CreditKarma (Paused),1511,B-Feb'23
Vueling FR CPS,5063,B-Feb'23
Shopee Indonesia - CPS,14989,B-Feb'23
Shopee SG - CPS,7473,B-Feb'23
Shopee TH - CPS,19940,B-Feb'23
Shopify CPA,17389,B-Feb'23
Klook - CPS,1902,B-Feb'23
Adobe,3697,B-Feb'23
CreditKarma (Paused),2601,C-Mar'23
Vueling FR CPS,5333,C-Mar'23
Shopee Indonesia - CPS,15374,C-Mar'23
Shopee SG - CPS,6709,C-Mar'23
Shopee TH - CPS,19035,C-Mar'23
