,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
50,50,1053560260,gpt-1078397418|course|5959558,16622,1053560260,22448,Udemy WW,Real Pricetracker,,,TR,334,Paid course,sale,7.75,pending,0,tabm,,,,,0.62,USD,,,0,,2024-05-14 16:27:26,2024-05-14 16:33:00,,2024-05-18 17:23:28,1253529621,21660,2024-05-14 16:33:00,7.75,0.62,8.00,,True,,,,,,
51,51,1053560298,gpt-1078377494|course|1830530,16622,1053560298,22448,Udemy WW,Real Pricetracker,,,TR,-527,Paid course,sale,5.27,pending,0,tabm,,,,,0.42,USD,,,0,,2024-05-14 15:35:47,2024-05-14 15:27:00,,2024-05-18 17:23:28,1253529657,21660,2024-05-14 15:27:00,5.27,0.42,7.97,,True,,,,,,
52,52,1052589539,15962.5978.70226,28955,1052589539,30956,Pdffiller Many Geos,Real Pricetracker,,,SA,624,Sale,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-14 13:12:50,2024-05-14 13:23:14,,2024-05-14 13:27:58,1251842468,63584,2024-05-14 13:23:14,0.00,0.00,0.00,,False,,,,,,
53,53,1053560756,gpt-1078250176|course|857010,16622,1053560756,22448,Udemy WW,Real Pricetracker,,,PL,-1281,Paid course,sale,10.07,pending,0,tabm,,,,,0.8,USD,,,0,,2024-05-14 10:28:21,2024-05-14 10:07:00,,2024-05-18 17:23:32,1253530116,21660,2024-05-14 10:07:00,10.07,0.80,7.95,,True,,,,,,
54,54,1053560636,gpt-1078250176|course|3291970,16622,1053560636,22448,Udemy WW,Real Pricetracker,,,PL,-1281,Paid course,sale,7.55,pending,0,tabm,,,,,0.6,USD,,,0,,2024-05-14 10:28:21,2024-05-14 10:07:00,,2024-05-18 17:23:30,1253530000,21660,2024-05-14 10:07:00,7.55,0.60,7.95,,True,,,,,,
55,55,1053321071,gpt-1078091092|course|2069857,16622,1053321071,22448,Udemy WW,Real Pricetracker,,,AR,-294,Paid course,sale,13.99,pending,0,tabm,,,,,1.12,USD,,,0,,2024-05-13 23:32:54,2024-05-13 23:28:00,,2024-05-17 13:23:30,1253112088,21660,2024-05-13 23:28:00,13.99,1.12,8.01,,True,,,,,,
56,56,1053321084,gpt-1078041122|course|4700236,16622,1053321084,22448,Udemy WW,Real Pricetracker,,,TR,-908,Paid course,sale,4.65,pending,0,tabm,,,,,0.37,USD,,,0,,2024-05-13 20:50:08,2024-05-13 20:35:00,,2024-05-17 13:23:31,1253112100,21660,2024-05-13 20:35:00,4.65,0.37,7.96,,True,,,,,,
57,57,1052364017,15962.5977.380724,28955,1052364017,30956,Pdffiller Many Geos,Real Pricetracker,,,FR,1462,Sale,sale,,pending,0,,,,,,0.0,USD,,,0,,2024-05-13 19:00:59,2024-05-13 19:25:21,,2024-05-13 19:30:30,1251451093,63584,2024-05-13 19:25:21,0.00,0.00,0.00,,False,,,,,,
58,58,1052364016,15962.5977.366178,28955,1052364016,30956,Pdffiller Many Geos,Real Pricetracker,,,US,1418,Sale,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-13 18:45:32,2024-05-13 19:09:10,,2024-05-13 19:30:30,1251451092,63584,2024-05-13 19:09:10,0.00,0.00,0.00,,False,,,,,,
59,59,1053321065,gpt-1077899458|gift|7245716,16622,1053321065,22448,Udemy WW,Real Pricetracker,,,TR,-1332,Paid course,sale,4.03,pending,0,tabm,,,,,0.32,USD,,,0,,2024-05-13 13:56:12,2024-05-13 13:34:00,,2024-05-17 13:23:30,1253112083,21660,2024-05-13 13:34:00,4.03,0.32,7.95,,True,,,,,,
60,60,1053320977,gpt-1077864494|course|3278440,16622,1053320977,22448,Udemy WW,Real Pricetracker,,,ES,-820,Paid course,sale,16.15,pending,0,tabm,,,,,1.29,USD,,,0,,2024-05-13 11:48:40,2024-05-13 11:35:00,,2024-05-17 13:23:29,1253111995,21660,2024-05-13 11:35:00,16.15,1.29,7.99,,True,,,,,,
61,61,1052174292,11068.5976.1218281,26066,1052174292,27697,Foot Locker US CA,Real Pricetracker,,,US,589,Paid order ,sale,43.99,pending,0,,,,,,0.88,USD,,,0,,2024-05-13 07:08:23,2024-05-13 07:18:12,,2024-05-13 07:28:37,1251143728,35937,2024-05-13 07:18:12,43.99,0.88,2.01,,True,,,,,,
62,62,1052174290,11068.5976.1194596,26066,1052174290,27697,Foot Locker US CA,Real Pricetracker,,,US,667,Paid order ,sale,49.99,pending,0,,,,,,1.0,USD,,,0,,2024-05-13 06:41:09,2024-05-13 06:52:16,,2024-05-13 07:28:37,1251143727,35937,2024-05-13 06:52:16,49.99,1.00,2.01,,True,,,,,,
63,63,1052174288,11068.5976.1189553,26066,1052174288,27697,Foot Locker US CA,Real Pricetracker,,,US,706,Paid order ,sale,80.0,pending,0,,,,,,1.6,USD,,,0,,2024-05-13 06:32:37,2024-05-13 06:44:23,,2024-05-13 07:28:37,1251143724,35937,2024-05-13 06:44:23,80.00,1.60,2.00,,True,,,,,,
64,64,1052174287,11068.5976.1182001,26066,1052174287,27697,Foot Locker US CA,Real Pricetracker,,,US,801,Paid order ,sale,115.0,pending,0,,,,,,0.0,USD,,,0,,2024-05-13 06:22:57,2024-05-13 06:36:18,,2024-05-13 07:28:37,1251143723,35937,2024-05-13 06:36:18,115.00,0.00,0.00,,True,,,,,,
65,65,1052167321,11068.5976.1114542,26066,1052167321,27697,Foot Locker US CA,Real Pricetracker,,,US,966,Paid order ,sale,28.0,pending,0,,,,,,0.57,USD,,,0,,2024-05-13 04:57:06,2024-05-13 05:13:12,,2024-05-13 05:26:37,1251136216,35937,2024-05-13 05:13:12,28.00,0.57,2.04,,True,,,,,,
